hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Remove eyelid lesion(s),67808,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1719.27,,,,,,,fee schedule,1719.27,10940,
Remove eyelid lesion(s),67808,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,1719.27,10940,
Remove eyelid lesion(s),67808,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1719.27,10940,
Remove eyelid lesion(s),67808,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1719.27,10940,
Biopsy eyelid & lid margin,67810,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,304.28,,,,,,,fee schedule,304.28,3195,
Biopsy eyelid & lid margin,67810,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,304.28,3195,
Biopsy eyelid & lid margin,67810,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,304.28,3195,
Biopsy eyelid & lid margin,67810,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,304.28,3195,
Revise eyelashes,67820,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,102.63,,,,,,,fee schedule,102.63,6979,
Revise eyelashes,67820,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,102.63,6979,
Revise eyelashes,67820,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,102.63,6979,
Revise eyelashes,67820,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,102.63,6979,
Revise eyelashes,67825,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,576.67,,,,,,,fee schedule,576.67,6979,
Revise eyelashes,67825,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,576.67,6979,
Revise eyelashes,67825,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,576.67,6979,
Revise eyelashes,67825,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,576.67,6979,
Revise eyelashes,67830,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,642.5,,,,,,,fee schedule,642.5,5664,
Revise eyelashes,67830,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,642.5,5664,
Revise eyelashes,67830,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,642.5,5664,
Revise eyelashes,67830,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,642.5,5664,
Revise eyelashes,67835,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2043.84,,,,,,,fee schedule,2043.84,10940,
Revise eyelashes,67835,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,2043.84,10940,
Revise eyelashes,67835,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2043.84,10940,
Revise eyelashes,67835,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2043.84,10940,
Remove eyelid lesion,67840,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,725.6,,,,,,,fee schedule,725.6,5664,
Remove eyelid lesion,67840,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,725.6,5664,
Remove eyelid lesion,67840,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,725.6,5664,
Remove eyelid lesion,67840,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,725.6,5664,
Treat eyelid lesion,67850,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,608.94,,,,,,,fee schedule,608.94,5664,
Treat eyelid lesion,67850,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,608.94,5664,
Treat eyelid lesion,67850,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,608.94,5664,
Treat eyelid lesion,67850,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,608.94,5664,
Closure of eyelid by suture,67875,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,439.99,,,,,,,fee schedule,439.99,5664,
Closure of eyelid by suture,67875,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,439.99,5664,
Closure of eyelid by suture,67875,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,439.99,5664,
Closure of eyelid by suture,67875,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,439.99,5664,
Revision of eyelid,67880,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1721.97,,,,,,,fee schedule,1721.97,10940,
Revision of eyelid,67880,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,1721.97,10940,
Revision of eyelid,67880,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1721.97,10940,
Revision of eyelid,67880,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1721.97,10940,
Revision of eyelid,67882,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2185.38,,,,,,,fee schedule,2185.38,10940,
Revision of eyelid,67882,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,2185.38,10940,
Revision of eyelid,67882,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2185.38,10940,
Revision of eyelid,67882,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2185.38,10940,
Repair brow defect,67900,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2344.89,,,,,,,fee schedule,2344.89,10940,
Repair brow defect,67900,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2344.89,10940,
Repair brow defect,67900,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2344.89,10940,
Repair brow defect,67900,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2344.89,10940,
Repair eyelid defect,67901,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2711.22,,,,,,,fee schedule,2711.22,10940,
Repair eyelid defect,67901,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6044,,,,,,,fee schedule,2711.22,10940,
Repair eyelid defect,67901,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2711.22,10940,
Repair eyelid defect,67901,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2711.22,10940,
Repair eyelid defect,67902,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3326.58,,,,,,,fee schedule,3326.58,12821,
Repair eyelid defect,67902,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6044,,,,,,,fee schedule,3326.58,12821,
Repair eyelid defect,67902,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,3326.58,12821,
Repair eyelid defect,67902,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,3326.58,12821,
Repair eyelid defect,67903,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2206.91,,,,,,,fee schedule,2206.91,10940,
Repair eyelid defect,67903,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2206.91,10940,
Repair eyelid defect,67903,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2206.91,10940,
Repair eyelid defect,67903,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2206.91,10940,
Repair eyelid defect,67904,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2746.4,,,,,,,fee schedule,2746.4,10940,
Repair eyelid defect,67904,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2746.4,10940,
Repair eyelid defect,67904,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2746.4,10940,
Repair eyelid defect,67904,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2746.4,10940,
Repair eyelid defect,67906,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2311.32,,,,,,,fee schedule,2311.32,12821,
Repair eyelid defect,67906,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6044,,,,,,,fee schedule,2311.32,12821,
Repair eyelid defect,67906,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,2311.32,12821,
Repair eyelid defect,67906,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,2311.32,12821,
Repair eyelid defect,67908,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2017.35,,,,,,,fee schedule,2017.35,10940,
Repair eyelid defect,67908,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2017.35,10940,
Repair eyelid defect,67908,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2017.35,10940,
Repair eyelid defect,67908,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2017.35,10940,
Revise eyelid defect,67909,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2044.27,,,,,,,fee schedule,2044.27,10940,
Revise eyelid defect,67909,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2044.27,10940,
Revise eyelid defect,67909,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2044.27,10940,
Revise eyelid defect,67909,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2044.27,10940,
Revise eyelid defect,67911,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2579.29,,,,,,,fee schedule,2579.29,10940,
Revise eyelid defect,67911,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,2579.29,10940,
Revise eyelid defect,67911,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2579.29,10940,
Revise eyelid defect,67911,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2579.29,10940,
Correction eyelid w/implant,67912,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2302.69,,,,,,,fee schedule,2302.69,10940,
Correction eyelid w/implant,67912,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,2302.69,10940,
Correction eyelid w/implant,67912,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2302.69,10940,
Correction eyelid w/implant,67912,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2302.69,10940,
Repair eyelid defect,67914,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1566.73,,,,,,,fee schedule,1566.73,10940,
Repair eyelid defect,67914,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,1566.73,10940,
Repair eyelid defect,67914,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1566.73,10940,
Repair eyelid defect,67914,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1566.73,10940,
Repair eyelid defect,67915,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,960.16,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67915,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67915,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67915,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67916,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2004.4,,,,,,,fee schedule,2004.4,10940,
Repair eyelid defect,67916,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2004.4,10940,
Repair eyelid defect,67916,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2004.4,10940,
Repair eyelid defect,67916,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2004.4,10940,
Repair eyelid defect,67917,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2115.99,,,,,,,fee schedule,2115.99,10940,
Repair eyelid defect,67917,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2115.99,10940,
Repair eyelid defect,67917,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2115.99,10940,
Repair eyelid defect,67917,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2115.99,10940,
Repair eyelid defect,67921,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1479.1,,,,,,,fee schedule,1479.1,10940,
Repair eyelid defect,67921,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,1479.1,10940,
Repair eyelid defect,67921,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1479.1,10940,
Repair eyelid defect,67921,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1479.1,10940,
Repair eyelid defect,67922,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,960.16,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67922,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67922,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67922,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,960.16,10940,
Repair eyelid defect,67923,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1999,,,,,,,fee schedule,1999,10940,
Repair eyelid defect,67923,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,1999,10940,
Repair eyelid defect,67923,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1999,10940,
Repair eyelid defect,67923,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1999,10940,
Repair eyelid defect,67924,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2114.96,,,,,,,fee schedule,2114.96,10940,
Repair eyelid defect,67924,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2114.96,10940,
Repair eyelid defect,67924,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2114.96,10940,
Repair eyelid defect,67924,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2114.96,10940,
Repair eyelid wound,67930,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1075.64,,,,,,,fee schedule,1075.64,10940,
Repair eyelid wound,67930,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,1075.64,10940,
Repair eyelid wound,67930,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1075.64,10940,
Repair eyelid wound,67930,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1075.64,10940,
Repair eyelid wound,67935,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2005.86,,,,,,,fee schedule,2005.86,10940,
Repair eyelid wound,67935,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,2005.86,10940,
Repair eyelid wound,67935,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2005.86,10940,
Repair eyelid wound,67935,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2005.86,10940,
Remove eyelid foreign body,67938,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,533.5,,,,,,,fee schedule,533.5,3195,
Remove eyelid foreign body,67938,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,533.5,3195,
Remove eyelid foreign body,67938,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,533.5,3195,
Remove eyelid foreign body,67938,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,533.5,3195,
Revision of eyelid,67950,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2145.99,,,,,,,fee schedule,2145.99,10940,
Revision of eyelid,67950,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,2145.99,10940,
Revision of eyelid,67950,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2145.99,10940,
Revision of eyelid,67950,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2145.99,10940,
Revision of eyelid,67961,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2105.84,,,,,,,fee schedule,2105.84,10940,
Revision of eyelid,67961,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,2105.84,10940,
Revision of eyelid,67961,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2105.84,10940,
Revision of eyelid,67961,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2105.84,10940,
Revision of eyelid,67966,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3003.25,,,,,,,fee schedule,3003.25,10940,
Revision of eyelid,67966,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,3003.25,10940,
Revision of eyelid,67966,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,3003.25,10940,
Revision of eyelid,67966,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,3003.25,10940,
Reconstruction of eyelid,67971,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3291.4,,,,,,,fee schedule,3291.4,10940,
Reconstruction of eyelid,67971,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,3291.4,10940,
Reconstruction of eyelid,67971,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,3291.4,10940,
Reconstruction of eyelid,67971,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,3291.4,10940,
Reconstruction of eyelid,67973,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4214.71,,,,,,,fee schedule,4214.71,10940,
Reconstruction of eyelid,67973,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,4214.71,10940,
Reconstruction of eyelid,67973,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,4214.71,10940,
Reconstruction of eyelid,67973,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,4214.71,10940,
Reconstruction of eyelid,67974,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4204.89,,,,,,,fee schedule,4204.89,12821,
Reconstruction of eyelid,67974,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,4204.89,12821,
Reconstruction of eyelid,67974,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,4204.89,12821,
Reconstruction of eyelid,67974,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,4204.89,12821,
Reconstruction of eyelid,67975,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3134.48,,,,,,,fee schedule,3134.48,10940,
Reconstruction of eyelid,67975,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,3134.48,10940,
Reconstruction of eyelid,67975,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,3134.48,10940,
Reconstruction of eyelid,67975,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,3134.48,10940,
Revision of eyelid,67999,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,2505,6979,
Revision of eyelid,67999,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,2505,6979,
Revision of eyelid,67999,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,2505,6979,
Incise/drain eyelid lining,68020,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,509.17,,,,,,,fee schedule,509.17,5664,
Incise/drain eyelid lining,68020,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,509.17,5664,
Incise/drain eyelid lining,68020,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,509.17,5664,
Incise/drain eyelid lining,68020,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,509.17,5664,
Treatment of eyelid lesions,68040,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,215.57,,,,,,,fee schedule,215.57,6979,
Treatment of eyelid lesions,68040,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,215.57,6979,
Treatment of eyelid lesions,68040,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,215.57,6979,
Treatment of eyelid lesions,68040,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,215.57,6979,
Biopsy of eyelid lining,68100,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,439.99,,,,,,,fee schedule,439.99,4497,
Biopsy of eyelid lining,68100,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,439.99,4497,
Biopsy of eyelid lining,68100,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,4497,,,,,,,fee schedule,439.99,4497,
