hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Martha's Vineyard Hospital,2026-03-27,3.0.0,Martha's Vineyard Hospital,1 Hospital Rd Oak Bluffs MA 02557-1477,2042,1194866210,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","259.00","194.25","AETNA [1001]","HB MVH AETNA","223.78","86.4","","82.59","82.59","82.59","1 through 10","152.81","241.39","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","259.00","194.25","CIGNA [1006]","HB MVH CIGNA HMO / PPO","241.39","93.2","","1422.61","1185.51","2845.22","1 through 10","152.81","241.39","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","259.00","194.25","HARVARD PILGRIM [120001]","HB MVH HPHC HMO / POS / PPO","203.83","78.7","","104.05","104.05","104.05","189","152.81","241.39","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","259.00","194.25","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","188.81","72.9","","187.50","187.50","187.50","1 through 10","152.81","241.39","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","inpatient","","","259.00","194.25","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","176.09","67.99","","94.92","94.92","94.92","1 through 10","116.29","235.69","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","259.00","194.25","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","182.54","70.48","","89.95","89.95","93.71","340","85.41","182.54","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","both","","","474.28","355.71","HARVARD PILGRIM [120001]","HB MVH HPHC HMO / POS / PPO","373.26","78.7","","382.55","382.55","382.55","1 through 10","279.83","442.03","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","both","","","474.28","355.71","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL HMO","329.15","69.4","","337.21","337.21","337.21","1 through 10","279.83","442.03","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","both","","","474.28","355.71","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","345.75","72.9","","354.29","354.29","354.29","1 through 10","279.83","442.03","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","both","","","474.28","355.71","UNITED HEALTHCARE [1016]","HB MVH UNITED HMO / PPO / INDEMNITY","438.99","92.56","","529.81","529.81","529.81","1 through 10","279.83","442.03","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","outpatient","","","474.28","355.71","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","334.27","70.48","","344.52","330.72","344.52","11","237.14","334.27","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","outpatient","","","474.28","355.71","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","334.27","70.48","","344.52","330.72","344.52","14","237.14","334.27","percent of total billed charges",""
"Abdom Paracentesis Dx/Ther W/Imaging Guidance","PX-36000168","CDM","49083","CPT","0983","RC","","","","outpatient","","","2835.00","2126.25","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1998.11","70.48","","2013.46","1810.19","2013.46","1 through 10","109.98","1998.11","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2676.00","2007.00","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1886.04","70.48","","2013.46","1810.19","2013.46","1 through 10","1338","1886.04","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2676.00","2007.00","MEDICARE [2001]","HB MVH MEDICARE","1338.00","50","","1050.54","1023.74","1052.72","1 through 10","1338","1886.04","percent of total billed charges",""
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0361","RC","","","","outpatient","","","1743.00","1307.25","MEDICARE [2001]","HB MVH MEDICARE","871.50","50","","671.94","671.94","671.94","1 through 10","871.5","871.5","percent of total billed charges",""
"ACETABULAR LINER 32MM SZ D HOODED HIGHCROSS UHMWPE MPACT","SUP-ITM-10299138","CDM","C1776","HCPCS","0278","RC","","","","both","","","2190.00","1642.50","CIGNA [1006]","HB MVH CIGNA HMO / PPO","2041.08","93.2","","2088.58","2088.58","2088.58","1 through 10","1292.1","2041.08","percent of total billed charges",""
"ACETABULAR LINER 32MM SZ D HOODED HIGHCROSS UHMWPE MPACT","SUP-ITM-10299138","CDM","C1776","HCPCS","0278","RC","","","","both","","","2190.00","1642.50","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","1596.51","72.9","","5093.05","5093.05","5093.05","1 through 10","1292.1","2041.08","percent of total billed charges",""
"ACETABULAR LINER 32MM SZ D HOODED HIGHCROSS UHMWPE MPACT","SUP-ITM-10299138","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2190.00","1642.50","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1543.51","70.48","","1780.73","1650.87","1780.73","1 through 10","1543.51","1543.51","percent of total billed charges",""
