hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Nantucket Cottage Hospital,2026-03-27,3.0.0,Nantucket Cottage Hospital,57 Prospect St Nantucket MA 02554-2799,2044,1447214622,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","","inpatient","","","27874.92","20906.19","MEDICARE [2001]","HB NCH MEDICARE","10649.05","","Case rate ($10,649.05). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.875, exceeds $10,058.88, add-ons for qualifying new technology services are included. If operating cost exceeds $51,431.09 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.142, exceeds $7,308.02, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.8. The base transfer operating payment is the transfer adjustment factor * $7,866.59 + an uncompensated DSH payment of $2,183.80. The transfer operating threshold is the transfer adjustment factor * $7,875.08 + an uncompensated DSH payment of $2,183.80. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $598.66. The transfer capital threshold is the transfer adjustment factor * $598.66. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Affected by low volume adjustment using a factor of 0.247348.","13017.68","13017.68","13017.68","1 through 10","10649.05","10649.05","other","Inpatient Replacement Plans DRG"
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","","inpatient","","","27874.92","20906.19","MEDICARE ALTERNATE [2002]","HB NCH MEDICARE","10649.05","","Case rate ($10,649.05). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.875, exceeds $10,058.88, add-ons for qualifying new technology services are included. If operating cost exceeds $51,431.09 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.142, exceeds $7,308.02, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.8. The base transfer operating payment is the transfer adjustment factor * $7,866.59 + an uncompensated DSH payment of $2,183.80. The transfer operating threshold is the transfer adjustment factor * $7,875.08 + an uncompensated DSH payment of $2,183.80. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $598.66. The transfer capital threshold is the transfer adjustment factor * $598.66. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Affected by low volume adjustment using a factor of 0.247348.","205.19","170.00","412.18","1 through 10","10649.05","10649.05","other","Inpatient Replacement Plans DRG"
"Acute Hepatitis Panel","PX-30000176","CDM","80074","CPT","0301","RC","","","","both","","","626.00","469.50","AETNA [1001]","HB NCH AETNA","547.12","87.4","","403.75","403.75","403.75","1 through 10","47.63","595.95","percent of total billed charges",""
"Acute Hepatitis Panel","PX-30000176","CDM","80074","CPT","0301","RC","","","","both","","","626.00","469.50","HARVARD PILGRIM [120001]","HB NCH HPHC HMO / POS / PPO","581.24","92.85","","452.06","452.06","452.06","1 through 10","47.63","595.95","percent of total billed charges",""
"Acute Hepatitis Panel","PX-30000176","CDM","80074","CPT","0301","RC","","","","both","","","626.00","469.50","MGB HEALTH PLAN [150001]","HB NCH MGBHP COMMERCIAL HMO","485.78","77.6","","377.63","321.10","377.63","1 through 10","47.63","595.95","percent of total billed charges",""
"Acute Kidney Injury,MODERATE","469","DRG","","","","","","","","inpatient","","","21013.38","","MASSHEALTH [3001]","HB NCH MEDICAID","5403.39","","Case rate ($6,571.35). If cost, defined as total billed times cost-to-charge ratio (1.2224), exceeds outlier threshold $49,001.35, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","174.60","95.65","6378.09","1 through 10","5403.39","5403.39","case rate",""
"Acute Myocardial Infarction, Discharged Alive With Cc","281","MS-DRG","","","","","","","","inpatient","","","16958.00","12718.50","MEDICARE [2001]","HB NCH MEDICARE","10286.71","","Case rate ($10,286.71). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.875, exceeds $9,721.80, add-ons for qualifying new technology services are included. If operating cost exceeds $51,094.01 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.142, exceeds $7,282.40, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.3. The base transfer operating payment is the transfer adjustment factor * $7,529.87 + an uncompensated DSH payment of $2,183.80. The transfer operating threshold is the transfer adjustment factor * $7,538.00 + an uncompensated DSH payment of $2,183.80. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $573.04. The transfer capital threshold is the transfer adjustment factor * $573.04. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Affected by low volume adjustment using a factor of 0.247348.","12517.95","12517.95","12517.95","1 through 10","10286.71","10286.71","other","Inpatient DRG"
"Acute Myocardial Infarction, Discharged Alive With Cc","281","MS-DRG","","","","","","","","inpatient","","","16958.00","12718.50","MEDICARE ALTERNATE [2002]","HB NCH MEDICARE","10286.71","","Case rate ($10,286.71). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.875, exceeds $9,721.80, add-ons for qualifying new technology services are included. If operating cost exceeds $51,094.01 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.142, exceeds $7,282.40, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.3. The base transfer operating payment is the transfer adjustment factor * $7,529.87 + an uncompensated DSH payment of $2,183.80. The transfer operating threshold is the transfer adjustment factor * $7,538.00 + an uncompensated DSH payment of $2,183.80. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $573.04. The transfer capital threshold is the transfer adjustment factor * $573.04. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Affected by low volume adjustment using a factor of 0.247348.","216.01","216.01","344.80","1 through 10","10286.71","10286.71","other","Inpatient DRG"
"Adalimumab Ab, S","PX-30003604","CDM","83520","CPT","0301","RC","","","","both","","","201.00","150.75","HARVARD PILGRIM [120001]","HB NCH HPHC HMO / POS / PPO","186.63","92.85","","184.63","184.63","184.63","1 through 10","17.27","191.35","percent of total billed charges",""
"Adalimumab Ab, S","PX-30003604","CDM","83520","CPT","0301","RC","","","","both","","","201.00","150.75","HARVARD PILGRIM ALTERNATE [120002]","HB NCH HPHC HMO / POS / PPO","186.63","92.85","","184.63","184.63","184.63","1 through 10","17.27","191.35","percent of total billed charges",""
