hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,556.39,228.75,1622.73,76,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,693.06,417.95,1921.47,47,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,478.48,457.02,861.3,1 through 10,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,531.28,341.67,1287.06,48,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,437.05,141.06,826.97,2094,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,500.54,189.14,906.18,307,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,541.24,330.42,1263.78,95,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,527.76,212.79,1448.05,124,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,1152.35,751.17,2144.22,163,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,1260.99,810.2,3651.53,160,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,1166.81,693.11,2474.29,405,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,1107.81,513.2,2431.32,570,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,1108.11,751.54,2468.81,198,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,1092.83,648.17,4442.16,49,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,1042.36,763.4,3071.61,27,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,1013.13,630.58,2828.78,65,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,1160.13,582.26,2681.1,247,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,1088.94,688.59,2779.12,158,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,1163.45,773.96,3342.44,112,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,2072.09,2072.09,2072.09,1 through 10,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,1053.3,655.85,3029.77,66,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,1040.88,145.42,2254.94,1265,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,1057.08,575.37,1934.51,260,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,1085.57,744.05,2751.65,183,percent of total billed charges,,,
Level 4 Type A ED Visits,5024,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,998.06,349.8,2038.31,173,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,2016.97,1430.81,6533.2,126,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,1956.71,1337.57,4421.7,120,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,1991.67,1178.65,4312.25,313,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,1896.43,1122.67,4699.39,442,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,1960.13,1152.37,3970.38,139,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,1746.59,1159.29,4464.88,38,percent of total billed charges,,,
