hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Newton Wellesley Hospital,2026-03-27,3.0.0,Newton Wellesley Hospital,2014 Washington St Newton MA 02462-1607,2075,1992737761,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","4625.00","3468.75","MGB HEALTH PLAN [150001]","HB NWH MGBHP EMPLOYEE PPO","","","Payment is accumulated by procedure count, in order of descending billed amounts. Procedure 1, Per diem ($3,218). Procedure 2, Per diem ($1,606.75). Procedures 3 - 9999, Per diem ($804.50).","3218.00","3218.00","3218.00","1 through 10","1984.13","3888.77","per diem",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","4625.00","3468.75","UNITED HEALTHCARE [1016]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","1984.13","42.9","","4935.51","4935.51","4935.51","1 through 10","1984.13","3888.77","percent of total billed charges",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","2700.25","","Case rate ($2,700.25). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.4%, 72.2 procedures at 0%.","3899.16","3899.16","3899.16","1 through 10","2125.14","7939.38","other","ASC "
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","2700.25","","Case rate ($2,700.25). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","3904.56","3823.55","3904.56","1 through 10","2125.14","7939.38","other","ASC "
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","CIGNA [1006]","HB CH CIGNA HMO / PPO","2742.63","59.3","","4845.05","4845.05","4845.05","1 through 10","2125.14","7939.38","percent of total billed charges",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","HARVARD PILGRIM [120001]","HB CH HPHC HMO / POS","2125.14","","Case rate ($2,125.14). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 235 procedures at 0%, 117.5 procedures at 0%.","14982.24","14982.24","14982.24","1 through 10","2125.14","7939.38","other","Multiple Surgery"
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","HARVARD PILGRIM [120001]","HB CH HPHC PPO / PREFERRED A","2125.14","","Case rate ($2,125.14). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 247%, 123.5 procedures at 0%.","6247.91","6247.91","6247.91","1 through 10","2125.14","7939.38","other","Multiple Surgery"
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","both","","","4625.00","3468.75","AETNA [1001]","HB CH AETNA HMO / PPO","2696.38","58.3","","1692.50","1692.50","1692.50","1 through 10","1984.13","3888.77","percent of total billed charges",""
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","2700.25","","Case rate ($2,700.25). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.4%, 72.2 procedures at 0%.","3899.16","3818.15","3899.16","1 through 10","2125.14","7939.38","other","ASC "
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","2700.25","","Case rate ($2,700.25). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","3904.56","3823.55","3904.56","1 through 10","2125.14","7939.38","other","ASC "
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","HARVARD PILGRIM [120001]","HB CH HPHC PPO / PREFERRED A","2125.14","","Case rate ($2,125.14). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 247%, 123.5 procedures at 0%.","10115.66","10115.66","10115.66","1 through 10","2125.14","7939.38","other","Multiple Surgery"
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","outpatient","","","4625.00","3468.75","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","3628.31","78.45","","6121.00","2294.87","6121.00","1 through 10","2125.14","7939.38","percent of total billed charges",""
"Abortion With D&C, Aspiration Curettage Or Hysterotomy,MINOR","543","DRG","","","","","","","","inpatient","","","30069.76","","WELLSENSE [1003]","HB NWH WELLSENSE MCO","4506.63","","Case rate ($4,855.19). If cost, defined as total billed times cost-to-charge ratio (0.4712), exceeds outlier threshold $47,285.19, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","4254.43","4254.43","4254.43","1 through 10","4506.63","17430.47","case rate",""
"Abortion With D&C, Aspiration Curettage Or Hysterotomy,MODERATE","543","DRG","","","","","","","","inpatient","","","32963.24","","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","16226.48","","Standard inlier is a Case rate ($16,226.48). If the cost, defined as total billed multiplied by the cost-to-charge ratio of 0.3037, exceeds the outlier threshold of $28,294, the excess is included in the final reimbursement as an outlier payment. For transfer scenarios, the final reimbursement is the lesser of the Per diem ($2,303.41) for the length of stay and the standard reimbursement.","15489.12","15489.12","15489.12","1 through 10","4506.63","17430.47","case rate",""
