hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Brigham and Women's Faulkner Hospital,2026-03-27,3.0.0,Brigham and Women's Faulkner Hospital,1153 Centre St Boston MA 02130-3446,2048,1578677811,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","TUFTS HEALTH PLAN [170001]","HB BWF TUFTS + COMM CARE ALLIANCE MCARE","1091.14","","APC Price ($1,113.41). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.256). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","1098.54","1098.54","3295.62","1 through 10","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","UNITED HEALTHCARE [1016]","HB BWF UNITED MEDICARE REPLACEMENT","1091.14","","APC Price ($1,113.41). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.256). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","1091.15","969.58","1098.65","23","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","WELLPOINT [1015]","HB CH WELLPOINT","1676.62","77.91","","1648.45","1648.45","2093.00","1 through 10","761.55","1676.62","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.4%, 72.2 procedures at 0%.","1257.55","1231.42","1257.55","21","761.55","1873.9","other","ASC "
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","1259.29","1233.17","1259.29","14","761.55","1873.9","other","ASC "
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","CIGNA [1006]","HB CH CIGNA HMO / PPO","1276.14","59.3","","1226.50","1226.50","1226.50","1 through 10","761.55","1873.9","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","HARVARD PILGRIM [120001]","HB CH HPHC HMO / POS","761.55","","Case rate ($761.55). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 235 procedures at 0%, 117.5 procedures at 0%.","1789.64","1789.64","1789.64","1 through 10","761.55","1873.9","other","Multiple Surgery"
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","AETNA [1001]","HB CH AETNA HMO / PPO","1912.97","58.3","","1634.24","1004.95","1718.99","42","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","HEALTH NEW ENGLAND [1034]","HB CH CLARITEV (PRIMARY PPO)","2395.31","73","","2123.89","1900.92","2123.89","1 through 10","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","INTERNATIONAL COMMERCIAL [140001]","HB CH AETNA HMO / PPO","1912.97","58.3","","3729.00","1254.19","3729.00","1 through 10","1458.52","3281.25","percent of total billed charges",""
