hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Massachusetts Eye and Ear,2026-03-27,3.0.0,Massachusetts Eye and Ear,243 Charles St Boston MA 02114,2167,1639101751,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"ABUTMENT HEALING 3X5 RP CONICAL CONNECTION","SUP-ITM-10329114","CDM","C1713","HCPCS","0278","RC","","","","both","","","136.80","102.60","UNITED HEALTHCARE [1016]","HB MEE UNITED","103.80","75.88","","119.44","119.44","119.44","1 through 10","70.04","103.8","percent of total billed charges",""
"ABUTMENT HEALING 3X5 RP CONICAL CONNECTION","SUP-ITM-10329114","CDM","C1713","HCPCS","0278","RC","","","","both","","","136.80","102.60","WELLPOINT [1015]","HB MEE WELLPOINT","95.81","70.04","","9789.71","733.30","9789.71","1 through 10","70.04","103.8","percent of total billed charges",""
"ABUTMENT HEALING 3X5 RP CONICAL CONNECTION","SUP-ITM-10329114","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","136.80","102.60","CIGNA [1006]","HB MEE CIGNA","106.02","77.5","","293.70","60.78","454.21","17","106.02","941.1","percent of total billed charges",""
"ABUTMENT HEALING L 6MM BA300 AID STD BAHA TITANIUM IMPLANTABLE","SUP-ITM-10086350","CDM","L8690","HCPCS","0278","RC","","","","both","","","3805.62","2854.21","AETNA [1001]","HB MEE AETNA","1948.48","51.2","","3013.31","3013.31","3013.31","1 through 10","1948.48","2887.7","percent of total billed charges",""
"ABUTMENT HEALING L 6MM BA300 AID STD BAHA TITANIUM IMPLANTABLE","SUP-ITM-10086350","CDM","L8690","HCPCS","0278","RC","","","","both","","","3805.62","2854.21","UNITED HEALTHCARE [1016]","HB MEE UNITED","2887.70","75.88","","2376.95","2376.95","2376.95","1 through 10","1948.48","2887.7","percent of total billed charges",""
"ABUTMENT HEALING L 6MM BA300 AID STD BAHA TITANIUM IMPLANTABLE","SUP-ITM-10086350","CDM","L8690","HCPCS","0278","RC","","","","both","","","3805.62","2854.21","WELLPOINT [1015]","HB MEE WELLPOINT","2665.46","70.04","","4010.58","2649.79","4010.58","1 through 10","1948.48","2887.7","percent of total billed charges",""
"ABUTMENT HEARING 8.5MM BA210 AID TITANIUM FLANGE FIXTURE HEXAGONAL CONNECTION BAHA","SUP-ITM-10133336","CDM","L8614","HCPCS","0278","RC","","","","both","","","4474.93","3356.20","AETNA [1001]","HB MEE AETNA","2291.16","51.2","","19058.08","16662.77","77730.08","1 through 10","2291.16","36929.73","percent of total billed charges",""
"ABUTMENT HEARING 8.5MM BA210 AID TITANIUM FLANGE FIXTURE HEXAGONAL CONNECTION BAHA","SUP-ITM-10133336","CDM","L8614","HCPCS","0278","RC","","","","both","","","4474.93","3356.20","INTERNATIONAL COMMERCIAL [140001]","HB AMC / MEE / PCC / ONE TEAM HEALTH INTERNATIONAL","2908.70","65","","25262.28","25262.28","25262.28","1 through 10","2291.16","36929.73","percent of total billed charges",""
"ABUTMENT HEARING 8.5MM BA210 AID TITANIUM FLANGE FIXTURE HEXAGONAL CONNECTION BAHA","SUP-ITM-10133336","CDM","L8614","HCPCS","0278","RC","","","","both","","","4474.93","3356.20","UNITED HEALTHCARE [1016]","HB MEE UNITED","3395.58","75.88","","38865.04","20270.17","38865.04","1 through 10","2291.16","36929.73","percent of total billed charges",""
"ABUTMENT HEARING 8.5MM BA210 AID TITANIUM FLANGE FIXTURE HEXAGONAL CONNECTION BAHA","SUP-ITM-10133336","CDM","L8614","HCPCS","0278","RC","","","","both","","","4474.93","3356.20","WELLPOINT [1015]","HB MEE WELLPOINT","3134.24","70.04","","6154.03","6154.03","6154.03","1 through 10","2291.16","36929.73","percent of total billed charges",""
